Hamlet,1996,"Kenneth Branagh, Derek Jacobi, Julie Christie, Richard Briers, Michael Maloney, Kate Winslet, Billy Crystal, Gérard Depardieu, Robin Williams, Charlton Heston, Jack Lemmon, Rufus Sewell, Timothy Spall, Reece Dinsdale, Richard Attenborough, Nicholas Farrell, John Gielgud, Judi Dench, John Mills, Rosemary Harris, Brian Blessed, Ken Dodd, Rob Edwards, Jimi Mistry, Tom Szekeres"
American Beauty,1999,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper, Peter Gallagher, Allison Janney, Sam Robards, Barry Del Sherman, Amber Smith, Scott Bakula, Matthew Kimbrough, Sue Casey, Ara Celi, John Cho, Fort Atkinson, Kent Faulcon, Brenda Wehle, Lisa Cloud, Alison Faulk, Krista Goodsitt, Lily Houtkin, Carolina Lancaster, Ramona Leah, Chekesha Van Putten, Emily Zachary, Nancy Anderson, Reshma Gajjar, Stephanie Rizzo, Heather Joy Sher, Chelsea Hertford, Joel McCrary, Marissa Jaret Winokur, Dennis Anderson, Erin Cathryn Strubbe, Bruce Cohen, Elaine Corral Kendall, David C. Fisher, Tom Miller"
Bitter Moon,1992,"Kristin Scott Thomas, Emmanuelle Seigner, Hugh Grant, Peter Coyote, Victor Banerjee, Patrick Albenque, Stockard Channing, Sophie Patel, Luca Vellani, Boris Bergman, Claude Bonnet, Richard Dieux, Danny Wuyts, Smilja Mihailovitch, Leo Eckmann"
Twin Falls Idaho,1999,"Garrett Morris, Lesley Ann Warren, Michele Hicks, Michael Polish, Mark Polish, William Katt, Patrick Bauchau, Holly Woodlawn, Jon Gries, Teresa Hill, Sasha Alexander"
Of Mice and Men,1992,"John Malkovich, Gary Sinise, Sherilyn Fenn, Joe Morton, Alexis Arquette, Casey Siemaszko, John Terry, Ray Walston, Noble Willingham, Richard Riehle, Joe D'Angerio, Tuck Milligan, David Steen, Moira Harris, Mark Boone Junior, Diane McGee, Donna Persico, Lori Tirgrath"
Murder in the First,1995,"Christian Slater, Kevin Bacon, Gary Oldman, Embeth Davidtz, Mia Kirshner, R. Lee Ermey, William H. Macy, Brad Dourif, Kyra Sedgwick, Stephen Tobolowsky, Ben Slack, Stefan Gierasch, Alex Bookston, Richie Allan, Herb Ritts, Charles Boswell, David Michael Sterling, Michael Melvin, George Maguire, Nick Scoggin, Douglas Bennett, Joseph Richards, Julius Varnado, Tony Barr, Stuart Nisbet, Gary Ballard, Randy Pelish, Neil Summers, Sonny King, Eddie Bowz, Brian Leckner, Time Winters, James Keane, Lance Brady, Michael Merrins, Ray Quartermus, Lee Mathis, Wayne Parks, Warren Spottswood, Thomas Fenske, Robert Lee, Sheldon Feldner, Fred Franklin, Danny Kovacs, Joseph Lucas, William Hall, Bill Barretta, Randall Dudley, Wally Rose, Amanda Borden, Eve Brenner, Joseph Cole, Richard Kwong, Gary Lee Davis, Bundy Chanock, Tory Christopher, James Anthony Cotton, Charles Cyphers, Laird Macintosh, Mary Mackey, Theo Mayes, Dennis Pappalardo, Douglas W. Randall, Brian Shotwell, Joseph Quinn Simpkins, James A. Swan, Nicole Vigil"
The Apostle,1997,"Robert Duvall, Farrah Fawcett, Billy Bob Thornton, June Carter Cash, Miranda Richardson, John Beasley, Walton Goggins, Todd Allen, Mary Lynette Braxton, Rick Dial, Emery Hopkins, Jewell Jernigan, Billy Joe Shaver, Paul Bagget"
L.A. Story,1991,"Steve Martin, Victoria Tennant, Richard E. Grant, Marilu Henner, Sarah Jessica Parker, Susan Forristal, Kevin Pollak, Sam McMurray, Patrick Stewart, Andrew Amador, Gail Grate, Eddie De Harp, MC Shan, Frances Fisher, Iman Abdulmajid, Woody Harrelson, Rick Moranis"
Goodfellas,1990,"Ray Liotta, Robert De Niro, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Vincent, Frank Sivero, Debi Mazar, Mike Starr, Catherine Scorsese, Samuel L. Jackson, Tony Darrow, Michael Imperioli, Chuck Low, Charles Scorsese, Frank DiLeo, Gina Mastrogiacomo, Henny Youngman, Vincent Gallo, Illeana Douglas, Suzanne Shepherd, Margo Winkler, Welker White, Elaine Kagan, Julie Garfield, Jerry Vale, Christopher Serrone, Beau Starr, Kevin Corrigan, Robert Vinton, Johnny Williams, Frank Pellegrino, Ronald Maccone, Tony Sirico, Joe D'Onofrio, Steve Forleo, Richard Dioguardi, Frank Adonis, Joseph Bono, Angela Pietropinto, Marianne Leone Cooper, Marie Michaels, Lo Nardo, Melissa Prophet, Susan Varon, Elizabeth Whitcraft, Clem Caserta, Fran McGee, Paul Herman, Edward McDonald, Eddie Hayes, Daniela Barbosa, Joel Calandrillo, Gina Mattia, Anthony Valentin, Edward D. Murphy, Michael Citriniti, John Manca, Mark Evan Jacobs, Katherine Wallach, Peter Hock, Erasmus C. Alfano, John Di Benedetto, Manny Alfaro, Thomas Lowry, Margaret Smith, Richard Mullally, Frank Albanese, Paul McIsaac, Bob Golub, Louis Eppolito, Tony Lip, Mikey Black, Peter Cicale, Vincent Pastore, Anthony Alessandro, Victor Colicchio, Mike Contessa, Philip Suriano, Paul Mougey, Norman Barbera, Anthony Polemeni, James Quattrochi, Lawrence Sacco, Dino Laudicina, Thomas E. Camuti, Andrew Scudiero, Irving Welzer, Jesse Kirtzman, Russell Halley, Spencer Bradley, Bob Altman, Joanna Bennett, Gayle Lewis, Gaetano Lisi, Luke Walter, Ed Deacy, Larry Silvestri, John Ciarcia, Vito Picone"
Swimming with Sharks,1994,"Jerry Levine, Patrick Fischler, Matthew Flint, Roy Dotrice, T.E. Russell, Benicio del Toro, Michelle Forbes, Frank Whaley, Kevin Spacey, Sabryn Genet, Kyle Reed"
