AA;0;17.52,32.17,31.19,27.33,40.73,30.04,32.68,6.43,26.48,15.92,44.57,28.85,51.41,32.85,25.87,12.06,24.84,13.93,53.54,9.86
AB;1;70.11,46.91,38.49,44.98,59.32,23.56,53.82,65.19,86.11,48.54,14.79,111.12,37.29,81.66,39.94,83.42,63.18,56.18,55.36,52.15
AC;1;98.85,81.8,2.85,47.29,111.97,57.0,19.69,76.47,34.14,58.09,25.74,53.91,37.52,85.3,117.09,55.15,62.5,57.79,17.51,50.35
AD;3;351.14,272.33,158.32,282.28,218.07,254.72,117.75,144.84,85.58,357.79,381.72,98.14,454.96,398.79,247.72,259.38,110.72,255.21,212.61,269.87
AE;2;92.86,92.36,135.35,119.79,232.5,226.38,124.05,158.61,160.88,70.17,202.7,26.0,108.57,52.67,115.17,8.99,83.53,180.61,59.59,61.15
AF;0;24.57,9.99,51.38,20.83,10.85,37.97,23.32,23.34,26.21,32.88,13.1,21.34,18.46,40.28,31.57,12.58,25.76,23.14,4.97,23.95
AG;3;192.85,225.87,433.06,128.34,70.81,276.52,342.37,214.46,397.96,147.95,479.33,38.37,324.37,273.17,246.46,144.18,140.23,364.12,240.06,193.91
AH;2;157.1,214.95,197.84,149.03,233.65,146.34,167.62,225.54,91.0,93.05,148.98,91.69,20.75,183.9,86.92,128.42,78.46,160.74,219.87,161.07
AI;2;168.41,53.85,155.84,155.99,69.22,121.03,121.6,117.41,32.59,28.21,36.76,125.4,95.54,196.94,105.35,85.2,90.22,144.21,94.16,246.24
AJ;2;114.54,186.64,56.24,117.43,118.07,105.4,238.83,90.28,146.3,246.73,155.99,83.85,91.04,42.67,130.11,78.71,50.88,180.99,83.02,25.13
AK;2;40.67,123.62,92.8,52.98,62.87,79.78,75.29,9.05,35.48,250.66,116.53,41.49,55.11,110.94,90.69,132.19,154.3,125.35,127.06,142.75
AL;0;30.31,31.53,27.87,7.77,20.83,1.49,12.03,31.26,29.17,37.78,45.08,33.62,21.94,49.97,42.14,25.83,15.98,39.25,21.58,16.34
AM;0;21.24,10.38,43.82,38.46,46.57,9.22,37.19,19.17,24.53,20.71,44.03,29.66,37.72,28.64,45.45,19.39,37.18,37.27,37.73,8.12
AN;2;215.34,115.17,106.85,181.17,131.78,130.51,123.62,104.81,87.17,112.42,183.93,62.73,73.15,149.17,111.09,98.67,101.75,89.42,80.57,135.92
AO;2;162.4,45.69,124.12,42.64,58.5,131.0,81.24,22.49,52.19,63.22,168.52,128.01,232.13,103.25,139.73,193.3,26.32,140.19,173.46,131.87
